ID,rodada,data,hora,mandante,visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,vencedor,estadio,mandante_placar,visitante_placar,mandante_estado,visitante_estado,ano,mes,dia_semana,resultado,total_gols
1,1,2003-03-29,16:00,Guarani,Vasco,,,,,Guarani,Brinco de Ouro,4,2,SP,RJ,2003,3,Saturday,Vitória mandante,6
2,1,2003-03-29,16:00,Athletico-PR,Gremio,,,,,Athletico-PR,Arena da Baixada,2,0,PR,RS,2003,3,Saturday,Vitória mandante,2
3,1,2003-03-30,16:00,Flamengo,Coritiba,,,,,-,Maracanã,1,1,RJ,PR,2003,3,Sunday,Empate,2
4,1,2003-03-30,16:00,Goias,Paysandu,,,,,-,Serra Dourada,2,2,GO,PA,2003,3,Sunday,Empate,4
5,1,2003-03-30,16:00,Internacional,Ponte Preta,,,,,-,Beira Rio,1,1,RS,SP,2003,3,Sunday,Empate,2
6,1,2003-03-30,16:00,Criciuma,Fluminense,,,,,Criciuma,Heriberto Hulse,2,0,SC,RJ,2003,3,Sunday,Vitória mandante,2
7,1,2003-03-30,16:00,Juventude,Sao Paulo,,,,,-,Alfredo Jaconi,2,2,RS,SP,2003,3,Sunday,Empate,4
8,1,2003-03-30,16:00,Fortaleza,Bahia,,,,,-,Castelão,0,0,CE,BA,2003,3,Sunday,Empate,0
9,1,2003-03-30,16:00,Cruzeiro,Sao Caetano,,,,,-,Mineirão,2,2,MG,SP,2003,3,Sunday,Empate,4
10,1,2003-03-30,16:00,Vitoria,Figueirense,,,,,-,Barradão,1,1,BA,SC,2003,3,Sunday,Empate,2
11,1,2003-03-30,18:00,Santos,Parana,,,,,-,Vila Belmiro,2,2,SP,PR,2003,3,Sunday,Empate,4
12,1,2003-03-30,18:00,Corinthians,Atlético-MG,,,,,Atletico-MG,Pacaembu,0,3,SP,MG,2003,3,Sunday,Vitória visitante,3
13,2,2003-04-05,16:00,Fluminense,Fortaleza,,,,,-,Maracanã,1,1,RJ,CE,2003,4,Saturday,Empate,2
14,2,2003-04-05,16:00,Atlético-MG,Santos,,,,,-,Mineirão,0,0,MG,SP,2003,4,Saturday,Empate,0
15,2,2003-04-05,16:00,Coritiba,Internacional,,,,,Internacional,Couto Pereira,0,1,PR,RS,2003,4,Saturday,Vitória visitante,1
